[2018-07-18T17:25:05.075] [DEBUG] logs\debug.log - Application has started
[2018-07-18T17:25:07.789] [DEBUG] logs\debug.log - User has entered operation mode: List All
[2018-07-18T17:25:07.790] [DEBUG] logs\debug.log - User input has been matched to List All
[2018-07-18T17:25:07.792] [DEBUG] logs\debug.log - Trying to load file: Transactions2013.json
[2018-07-18T17:25:07.793] [DEBUG] logs\debug.log - JSON format detected
[2018-07-18T17:25:07.794] [DEBUG] logs\debug.log - Parsing string as JSON
[2018-07-18T17:25:07.796] [DEBUG] logs\debug.log - Length of transactions (including header): 146
[2018-07-18T17:25:07.804] [DEBUG] logs\debug.log - Converting 2.14 to int
[2018-07-18T17:25:07.804] [DEBUG] logs\debug.log - Result of conversion: 214
[2018-07-18T17:25:07.813] [DEBUG] logs\debug.log - Converting 10.53 to int
[2018-07-18T17:25:07.814] [DEBUG] logs\debug.log - Result of conversion: 1053
[2018-07-18T17:25:07.815] [DEBUG] logs\debug.log - Converting 10.57 to int
[2018-07-18T17:25:07.815] [DEBUG] logs\debug.log - Result of conversion: 1057
[2018-07-18T17:25:07.816] [DEBUG] logs\debug.log - Converting 8.19 to int
[2018-07-18T17:25:07.817] [DEBUG] logs\debug.log - Result of conversion: 819
[2018-07-18T17:25:07.818] [DEBUG] logs\debug.log - Converting 1.01 to int
[2018-07-18T17:25:07.819] [DEBUG] logs\debug.log - Result of conversion: 101
[2018-07-18T17:25:07.820] [DEBUG] logs\debug.log - Converting 2.71 to int
[2018-07-18T17:25:07.820] [DEBUG] logs\debug.log - Result of conversion: 271
[2018-07-18T17:25:07.826] [DEBUG] logs\debug.log - Converting 7.17 to int
[2018-07-18T17:25:07.827] [DEBUG] logs\debug.log - Result of conversion: 717
[2018-07-18T17:25:07.828] [DEBUG] logs\debug.log - Converting 11.12 to int
[2018-07-18T17:25:07.829] [DEBUG] logs\debug.log - Result of conversion: 1112
[2018-07-18T17:25:07.832] [DEBUG] logs\debug.log - Converting 4.86 to int
[2018-07-18T17:25:07.833] [DEBUG] logs\debug.log - Result of conversion: 486
[2018-07-18T17:25:07.833] [DEBUG] logs\debug.log - Converting 1.92 to int
[2018-07-18T17:25:07.834] [DEBUG] logs\debug.log - Result of conversion: 192
[2018-07-18T17:25:07.835] [DEBUG] logs\debug.log - Converting 11.95 to int
[2018-07-18T17:25:07.836] [DEBUG] logs\debug.log - Result of conversion: 1195
[2018-07-18T17:25:07.837] [DEBUG] logs\debug.log - Converting 7.55 to int
[2018-07-18T17:25:07.838] [DEBUG] logs\debug.log - Result of conversion: 755
[2018-07-18T17:25:07.839] [DEBUG] logs\debug.log - Converting 5.52 to int
[2018-07-18T17:25:07.840] [DEBUG] logs\debug.log - Result of conversion: 552
[2018-07-18T17:25:07.841] [DEBUG] logs\debug.log - Converting 8.07 to int
[2018-07-18T17:25:07.846] [DEBUG] logs\debug.log - Result of conversion: 807
[2018-07-18T17:25:07.847] [DEBUG] logs\debug.log - Converting 7.63 to int
[2018-07-18T17:25:07.848] [DEBUG] logs\debug.log - Result of conversion: 763
[2018-07-18T17:25:07.849] [DEBUG] logs\debug.log - Converting 10.4 to int
[2018-07-18T17:25:07.850] [DEBUG] logs\debug.log - Result of conversion: 1004
[2018-07-18T17:25:07.855] [DEBUG] logs\debug.log - Converting 5.76 to int
[2018-07-18T17:25:07.856] [DEBUG] logs\debug.log - Result of conversion: 576
[2018-07-18T17:25:07.857] [DEBUG] logs\debug.log - Converting 1.54 to int
[2018-07-18T17:25:07.858] [DEBUG] logs\debug.log - Result of conversion: 154
[2018-07-18T17:25:07.866] [DEBUG] logs\debug.log - Converting 6.98 to int
[2018-07-18T17:25:07.867] [DEBUG] logs\debug.log - Result of conversion: 698
[2018-07-18T17:25:07.868] [DEBUG] logs\debug.log - Converting 8.77 to int
[2018-07-18T17:25:07.869] [DEBUG] logs\debug.log - Result of conversion: 877
[2018-07-18T17:25:07.870] [DEBUG] logs\debug.log - Converting 5.94 to int
[2018-07-18T17:25:07.876] [DEBUG] logs\debug.log - Result of conversion: 594
[2018-07-18T17:25:07.877] [DEBUG] logs\debug.log - Converting 10.58 to int
[2018-07-18T17:25:07.878] [DEBUG] logs\debug.log - Result of conversion: 1058
[2018-07-18T17:25:07.879] [DEBUG] logs\debug.log - Converting 1.73 to int
[2018-07-18T17:25:07.885] [DEBUG] logs\debug.log - Result of conversion: 173
[2018-07-18T17:25:07.886] [DEBUG] logs\debug.log - Converting 7.26 to int
